PET.MCRIMXX2.M,STEO.COPC_OPEC.M,STEO.COPRPUS.M,STEO.COPS_OPEC.M,STEO.CORIPUS.M,STEO.PAPR_NONOPEC.M,STEO.PAPR_OPEC.M,STEO.PASC_OECD_T3.M,STEO.PATC_NON_OECD.M,STEO.PATC_OECD.M,STEO.T3_STCHANGE_NOECD.M,STEO.T3_STCHANGE_OOECD.M,CPIENGSL,CAPG211S,CAPUTLG211S,IPG211S,IPG211111CN,INDPRO,IPN213111N,PCU211211,WTISPLC,GPR,SP500_returns,forecast_oil_price,OECD.GDP.GROWTH,Non-OECD.GDP.GROWTH,exchange_rate
3718.0,28.083065,6.337772,3.7901402886,14.359,45.129407619,26.80220034,,25.19488175,45.762863053,,,110.1,66.6372,93.9337,62.5948,97.3823,75.3738,92.4493,80.7,21.32,80.64431762695312,-0.045748016719207696,21.96,3.11464938428504,1.80895876853768,
3865.0,28.083065,6.360071,3.7936623857,14.424,44.704661929,26.791733308,,25.19444083,45.937488312,,,109.7,66.6337,94.4004,62.9025,97.7246,75.7557,94.0882,82.7,21.96,81.6876449584961,0.01881393514756069,23.99,3.11464938428504,1.80895876853768,
3463.0,28.083065,6.481855,3.7231552876,14.484,45.139166442,26.85529547,,25.194726318,45.623646696,,,109.8,66.6321,95.0507,63.3343,99.5948,76.2302,95.3138,81.3,23.99,88.19697570800781,0.05420332732833044,24.9,3.11464938428504,1.80895876853768,
3504.0,28.083065,6.480875,3.5751945291,14.277,45.505111665,26.961260093,,25.712419366,47.694787422,,,110.5,66.6324,94.1876,62.7595,99.5803,76.2157,94.8092,83.7,24.9,55.586830139160156,0.026101002422918018,23.71,3.11464938428504,1.80895876853768,
3199.0,28.083065,6.475602,3.5279096017,14.204,46.001536094,27.008545021,,25.712070436,47.56015664,,,111.8,66.6332,93.8429,62.5306,99.498,76.8973,95.7735,93.4,23.71,57.34461212158203,0.07337615178140577,25.39,3.11464938428504,1.80895876853768,
3166.0,28.083065,6.505965,3.0181581752,14.185,46.067655772,27.532186319,,25.712524045,48.162778454,,,113.9,66.6347,93.9477,62.6018,99.9655,77.3772,101.7599,112.1,25.39,74.98263549804688,-0.021505414489508046,25.17,3.11464938428504,1.80895876853768,
3237.0,29.597585,6.40212,4.5805912273,13.664,45.88285897,27.551250561,,25.646182903,48.268953534,,,115.2,66.636,93.6403,62.3981,98.3693,77.5135,98.5099,121.1,25.17,54.062435150146484,0.061317039054128886,22.21,3.64315222042113,4.070107319187,
3341.0,29.597585,6.51429,4.3424151065,13.485,46.153872939,27.80306696,,25.646096717,48.327254657,,,115.0,66.6352,94.404,62.9063,100.0931,78.4255,97.0909,99.6,22.21,50.559940338134766,0.0059275902346540565,20.99,3.64315222042113,4.070107319187,
3410.0,29.597585,6.452047,4.1520588781,14.047,45.926654848,28.007063467,,25.645011408,46.014262456,,,113.0,66.6345,94.2623,62.8112,99.137,78.9197,109.9479,77.3,20.99,58.48006057739258,-0.04261401064074877,19.72,3.64315222042113,4.070107319187,
3818.0,29.597585,6.441294,3.9075663204,14.303,46.133399637,28.258451164,,25.663508181,46.914942735,,,111.0,66.6322,93.6326,62.3894,98.972,78.9848,111.7516,75.5,19.72,62.844486236572266,0.05840557906734034,20.83,3.64315222042113,4.070107319187,
4073.0,29.597585,6.474261,4.1721358618,15.123,45.759908459,27.993881622,,25.66286338,45.016105578,,,108.8,66.6287,94.2781,62.8163,99.4789,79.4296,108.6185,80.2,20.83,53.57601547241211,0.05857688480332501,19.17,3.64315222042113,4.070107319187,
4128.0,29.597585,6.44172,4.5800843454,15.17,45.37274511,27.579087999,,25.663393266,46.256348204,,,110.0,66.6233,93.7539,62.4619,98.9794,79.7971,110.6086,78.9,19.17,39.045623779296875,0.043452614795275846,19.63,3.64315222042113,4.070107319187,
3662.0,29.597585,6.409392,4.5704820027,14.994,45.868970408,27.588740342,,25.60691861,47.547179293,,,109.1,66.6166,94.1907,62.7467,98.4829,80.4666,112.8806,78.8,19.63,47.69842529296875,0.07814580943742477,19.93,3.64315222042113,4.070107319187,
4030.0,29.597585,6.347386,3.4501992686,15.271,45.64277381,28.722713354,,25.606015251,45.942365025,,,110.9,66.6086,93.8651,62.5222,97.5307,81.2825,113.2469,79.7,19.93,48.582298278808594,-0.057465631708528364,19.79,3.64315222042113,4.070107319187,
4168.0,29.597585,6.485824,3.4417146856,15.308,46.08094073,28.731197937,,25.606669628,47.477916384,,,112.4,66.5989,95.04,63.2956,99.659,82.0327,114.7665,83.5,19.79,42.6890869140625,0.053153590615567126,21.26,3.64315222042113,4.070107319187,
4134.0,29.597585,6.467152,3.3025826341,14.854,46.458271532,28.870229989,,26.334333878,48.179409411,,,111.8,66.5886,94.215,62.7364,99.3732,82.7656,109.2135,93.4,21.26,49.746307373046875,-0.03447769737522033,20.17,3.64315222042113,4.070107319187,
3845.0,29.597585,6.459282,3.53263917,14.706,46.535693751,28.633378314,,26.333015548,47.478765132,,,111.4,66.5766,93.0163,61.9271,99.2529,83.427,111.978,98.0,20.17,59.6933708190918,0.04458685521263939,18.32,3.64315222042113,4.070107319187,
3444.0,29.597585,6.531108,3.9233445268,14.928,46.803700118,28.256163235,,26.334212579,49.928740272,,,109.8,66.564,93.4165,62.1817,100.3564,83.784,113.9676,84.5,18.32,43.998268127441406,0.01573159710869443,16.71,3.64315222042113,4.070107319187,
3703.0,30.927969,6.540526,4.2220177824,14.319,47.100524929,29.388785031,,26.172812727,46.946719782,,,107.5,66.5502,95.8241,63.7712,100.5018,84.1564,116.154,76.2,16.71,53.0963020324707,0.010150177442407982,16.06,3.02525780150955,2.61121816986882,
3657.0,30.927969,6.475755,3.7652607958,14.023,47.049833256,29.845442018,,26.173150436,48.373109251,,,105.1,66.5219,94.6888,62.9888,99.5075,84.3066,115.4918,72.0,16.06,77.59761810302734,0.07044919253631243,15.02,3.02525780150955,2.61121816986882,
4126.0,30.927969,6.407711,3.7812607958,14.639,46.880443957,29.829442018,,26.172650013,48.174847082,,,103.3,66.4917,94.4654,62.8116,98.4624,84.342,111.0272,70.2,15.02,57.24806213378906,0.049945714341220526,15.44,3.02525780150955,2.61121816986882,
4205.0,30.927969,6.48275,3.8336987164,15.085,46.834870483,29.762552022,,26.36976949,46.430819841,,,102.4,66.4594,95.4292,63.4217,99.6136,84.6339,107.1771,72.3,15.44,50.99658203125,0.009076469253460395,14.86,3.02525780150955,2.61121816986882,
4278.0,30.927969,6.346905,3.9020490529,15.321,46.276252238,29.694201686,,26.369210735,44.416121243,,,103.2,66.4246,95.0275,63.1216,97.5265,85.1867,103.6424,72.6,14.86,94.4734878540039,-0.018826223261468433,13.66,3.02525780150955,2.61121816986882,
4261.0,30.927969,6.267266,4.4170490529,15.485,46.509402219,29.150597536,,26.369876943,47.106049164,,,103.6,66.3867,94.2149,62.5462,96.302,84.6809,102.1487,66.6,13.66,76.30907440185547,0.03943824063504042,14.08,3.02525780150955,2.61121816986882,
4716.0,30.927969,6.194381,4.5418060396,15.554,46.190496093,29.018464512,,26.236831069,47.746487516,,,103.3,66.3452,92.9088,61.6406,95.1796,84.3445,98.1605,70.1,14.08,54.04841613769531,-0.011615326917385427,13.36,3.02525780150955,2.61121816986882,
4569.0,30.927969,6.202641,4.8319812078,15.717,45.776781893,28.721113306,,26.236063548,46.769992304,,,102.1,66.2974,93.9828,62.3082,95.3062,86.0816,96.2944,64.6,13.36,97.02085876464844,-0.14579671825011387,14.95,3.02525780150955,2.61121816986882,
4057.0,30.927969,5.789212,4.7517819865,14.851,45.714353209,28.801512527,,26.236729757,47.187053521,,,101.3,66.2412,89.1047,59.024,88.9503,86.0023,95.1661,61.8,14.95,62.51344299316406,0.06239551504341101,14.39,3.02525780150955,2.61121816986882,
4376.0,30.927969,6.142566,4.9167819865,13.994,46.047021948,28.636412527,,27.096807307,47.489155733,,,101.5,66.1757,92.1212,60.9618,94.3806,86.591,91.2325,64.6,14.39,54.403648376464844,0.08029422856762891,12.85,3.02525780150955,2.61121816986882,
4161.0,30.927969,6.139929,4.6516506103,14.772,46.781715654,28.901543903,,27.097037564,48.312616829,,,101.1,66.1003,91.871,60.727,94.3391,86.5115,87.4587,65.9,12.85,67.96592712402344,0.05912599628568138,11.28,3.02525780150955,2.61121816986882,
3868.0,30.927969,6.043449,4.9216506103,14.84,46.742442272,28.624367866,,27.097442815,50.349046553,,,100.1,66.0158,90.9577,60.0465,92.8559,86.8615,83.1506,62.9,11.28,75.95989227294922,0.056375287084956094,12.47,3.02525780150955,2.61121816986882,
4051.0,31.458502,5.963356,5.3189372388,14.442,46.775048988,28.884928529,,26.905141852,47.619638848,,,99.7,65.9225,91.7789,60.5029,91.6196,87.2205,79.1276,60.3,12.47,63.98722457885742,0.04100944085374847,12.01,3.44144646859912,2.1951176075643,1.16078
4334.0,31.458502,5.965517,4.7988987753,14.309,46.694516674,29.405366992,,27.115028358,50.138734171,,,99.2,65.8198,92.0274,60.5722,91.6619,87.726,74.5306,57.3,12.01,58.316383361816406,-0.032282562377591306,14.66,3.44144646859912,2.1951176075643,1.120765
4358.0,31.458502,5.882633,5.0587269608,14.498,46.529331983,29.161209276,,27.029523121,50.586367723,,,100.4,65.7092,91.3615,60.033,90.3777,87.9125,74.746,58.6,14.66,83.39727783203125,0.0387942154089167,17.34,3.44144646859912,2.1951176075643,1.0882956521739
4968.0,31.458502,5.887203,6.2281223689,15.094,46.347585567,27.931231989,,27.179584494,46.858713777,,,105.5,65.5929,91.7379,60.1736,90.4667,88.1082,70.5114,65.7,17.34,106.19801330566406,0.03794402759627746,17.75,3.44144646859912,2.1951176075643,1.0704409090909
4374.0,31.458502,5.87491,6.2780367094,14.973,46.225255921,27.881617649,,27.139848137,44.90286233,,,104.9,65.4713,91.3407,59.8019,90.2709,88.6483,73.1858,76.3,17.75,85.44113159179688,-0.024970480796175143,17.89,3.44144646859912,2.1951176075643,1.0628095238095
4243.0,31.458502,5.760265,6.7879592728,14.959,45.685245932,27.36390985,,27.194349223,47.706522018,,,104.5,65.3456,91.8517,60.021,88.5307,88.5903,76.6477,76.2,17.89,79.4105453491211,0.054438331114324834,20.07,3.44144646859912,2.1951176075643,1.0377545454545
4216.0,31.458502,5.797999,6.2379686304,15.237,46.757442361,27.914000493,,26.950603512,47.503097263,,,106.7,65.2192,92.6492,60.4251,89.1068,89.1098,78.4691,79.6,20.07,62.14287185668945,-0.032046092391091685,21.26,3.44144646859912,2.1951176075643,1.0352681818182
4427.0,31.458502,5.780231,6.0079722431,15.299,46.438473347,28.15926735,,26.864714735,47.699964759,,,109.5,65.0942,92.5469,60.2427,88.8309,89.5007,83.6848,87.6,21.26,62.858642578125,-0.006254091687235008,23.88,3.44144646859912,2.1951176075643,1.0603545454545
4044.0,31.458502,5.803771,5.9927058545,15.107,46.537192148,28.174533738,,26.967782304,48.2012604,,,111.8,64.9726,92.9959,60.4219,89.202,89.1304,89.0226,96.9,23.88,69.58151245117188,-0.028551792448024638,22.64,3.44144646859912,2.1951176075643,1.0500772727273
4020.0,31.458502,5.947115,5.9379741086,14.589,47.077395907,28.236750719,,27.45123084,48.079576199,,,112.0,64.856,93.587,60.6969,91.3898,90.2709,91.48,91.2,22.64,72.35348510742188,0.0625395414523846,24.97,3.44144646859912,2.1951176075643,1.0706333333333
3843.0,31.458502,5.960356,6.4730339879,14.704,47.611056539,27.70189084,,27.61976784,49.118973828,,,111.5,64.7464,94.3321,61.0767,91.6002,90.7528,95.2577,101.6,24.97,57.9638671875,0.019061858969220413,26.08,3.44144646859912,2.1951176075643,1.0338227272727
3878.0,31.458502,5.958573,7.3483089403,14.41,47.798398699,26.826415888,,27.632492417,51.901984444,,,113.8,64.6452,94.8063,61.2878,91.5689,91.4784,95.8703,90.4,26.08,86.0849380493164,0.05784389473992291,27.18,3.44144646859912,2.1951176075643,1.0110136363636
3474.0,31.236635,5.784376,5.9841008802,13.779,47.662092988,28.008193266,,28.277250781,47.226467768,,,115.0,64.5537,94.1031,60.747,88.8893,91.4092,92.5565,94.2,27.18,64.45780944824219,-0.05090354879190062,29.35,4.10441486404869,4.38141893719981,1.0136952380952
4160.0,31.236635,5.851839,5.3211193624,14.028,47.582216885,28.671192784,,28.761801313,50.229045384,,,118.8,64.4727,94.0509,60.6371,89.9277,91.7245,89.1486,102.6,29.35,63.54172134399414,-0.020108083256356934,29.89,4.10441486404869,4.38141893719981,0.9834238095238
4379.0,31.236635,5.918207,5.3878529553,14.613,47.696974505,28.605599191,,28.519672453,49.357701723,,,124.3,64.4034,94.7563,61.0263,90.9527,92.083,88.3585,107.0,29.89,50.101985931396484,0.09671982835364812,25.74,4.10441486404869,4.38141893719981,0.9643434782609
4533.0,31.236635,5.854166,4.4699569775,15.053,47.368439275,29.552483283,,28.12304059,46.286488936,,,120.9,64.3475,94.0493,60.5183,89.9672,92.6659,89.2701,102.7,25.74,48.6827392578125,-0.030795755780191336,28.78,4.10441486404869,4.38141893719981,0.94695
4150.0,31.236635,5.84651,3.948044202,15.494,47.383669985,30.081686587,,28.208019215,47.33846291,,,120.0,64.3056,94.2881,60.6325,89.8531,92.9347,93.1947,109.1,28.78,79.48287963867188,-0.021915050603417807,31.83,4.10441486404869,4.38141893719981,0.9059681818182
4861.0,31.236635,5.822882,4.3472553483,15.643,47.527849725,29.68774297,,28.262152536,47.955504106,,,126.8,64.2788,94.8015,60.9373,89.4919,93.0018,94.8584,133.1,31.83,64.71781921386719,0.023933549615877237,29.77,4.10441486404869,4.38141893719981,0.9491772727273
4577.0,31.236635,5.739362,4.0783236122,15.819,47.794970604,29.973108763,,28.529444464,47.249534493,,,127.3,64.2683,94.8417,60.9531,88.2078,92.8373,102.3267,132.8,29.77,51.904022216796875,-0.016341275904170893,31.22,4.10441486404869,4.38141893719981,0.9396571428571
5348.0,31.236635,5.788734,3.117776189,15.64,47.691082124,30.977382357,,28.693348905,49.831008549,,,123.8,64.2753,95.4663,61.3613,88.968,92.591,105.4136,127.4,31.22,46.49225616455078,0.06069910494167097,33.88,4.10441486404869,4.38141893719981,0.9040565217391
